index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2034102,0,0,8.328038e-12,0,8.328038E-12
2,21,2.2882864,0.3,0.3,1.199286e-11,25014883855.9,1.199286E-11
3,21,3.3734007,0.6,0.6,8.449807e-12,71007538988.8,8.449807E-12
4,21,4.4584944,0.9,0.9,9.226842e-12,97541499030.8,9.226842E-12
5,21,5.543762,1.2,1.2,8.171462e-12,146852546093,8.171462E-12
6,21,6.6288831,1.5,1.5,8.397612e-12,178622208314,8.397612E-12
7,21,7.7136899,1.8,1.8,8.699146e-12,206916862874,8.699146E-12
8,21,8.7987385,2.1,2.1,8.258436e-12,254285436129,8.258436E-12
9,21,9.8838013,2.4,2.4,8.362826e-12,286984328025,8.362826E-12
10,21,10.9688459,2.7,2.7,8.762944e-12,308115628720,8.762944E-12
11,21,12.0539062,3,3,9.302231e-12,322503279052,9.302231E-12
12,21,13.1387457,3.3,3.3,8.646969e-12,381636617409,8.646969E-12
13,21,14.2241629,3.6,3.6,9.603765e-12,374852987344,9.603765E-12
14,21,15.3092248,3.9,3.9,8.803531e-12,443004062802,8.803531E-12
15,21,16.3940232,4.2,4.2,8.716547e-12,481842179019,8.716547E-12
16,21,17.4792967,4.5,4.5,9.464593e-12,475456261035,9.464593E-12
17,21,18.564332,4.8,4.8,8.18306e-12,586577637216,8.183060E-12
18,21,19.6494434,5.1,5.1,9.731334e-12,524080254567,9.731334E-12
19,21,20.73432,5.4,5.4,9.290629e-12,581230829473,9.290629E-12
20,21,21.819585,5.7,5.7,8.594776e-12,663193549198,8.594776E-12
21,21,22.9048614,6,6,9.261635e-12,647833778809,9.261635E-12
