index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1080232,0,0,9.456636e-09,0,9.456636E-09
2,21,2.7986123,0.3,0.3,0.0001049876,2857.48031196,1.049876E-04
3,21,3.8834472,0.6,0.6,0.0001047131,5729.94209894,1.047131E-04
4,21,4.9684607,0.9,0.9,5.1545e-05,17460.4714327,5.154500E-05
5,21,6.0535411,1.2,1.2,0.0001047987,11450.5237183,1.047987E-04
6,21,7.1384741,1.5,1.5,2.932159e-05,51156.8438137,2.932159E-05
7,21,8.223529,1.8,1.8,3.182786e-05,56554.2263916,3.182786E-05
8,21,9.678673,2.1,2.1,5.004038e-08,41966108.171,5.004038E-08
9,21,11.2699966,2.4,2.4,5.222783e-09,459525122.909,5.222783E-09
10,21,12.3549238,2.7,2.7,8.129709e-07,3321152.08552,8.129709E-07
11,21,13.4400439,3,3,2.937982e-07,10211090.4696,2.937982E-07
12,21,14.8449272,3.3,3.3,3.587346e-06,919900.115573,3.587346E-06
13,21,16.500181,3.6,3.6,2.543025e-08,141563688.914,2.543025E-08
14,21,18.2776009,3.9,3.9,2.342445e-10,16649270313.7,2.342445E-10
15,21,19.3624599,4.2,4.2,1.289389e-08,325735677.906,1.289389E-08
16,21,21.1364591,4.5,4.5,3.380799e-08,133104630,3.380799E-08
17,21,22.4257426,4.8,4.8,1.382636e-08,347162955.398,1.382636E-08
18,21,23.5107368,5.1,5.1,7.32578e-08,69617160.2205,7.325780E-08
19,21,24.595689,5.4,5.4,4.392779e-08,122929016.006,4.392779E-08
20,21,25.680534,5.7,5.7,9.725012e-08,58611752.8698,9.725012E-08
21,21,27.5254019,6,6,9.519297e-07,6302986.44952,9.519297E-07
