index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2454505,0,0,9.354385e-12,0,9.354385E-12
2,21,2.3303696,0.3,0.3,9.534144e-12,31465855770.6,9.534144E-12
3,21,3.4160183,0.6,0.6,8.617945e-12,69622166305.3,8.617945E-12
4,21,4.5011498,0.9,0.9,1.118097e-11,80493910635.7,1.118097E-11
5,21,5.586525,1.2,1.2,1.454424e-11,82506889325.3,1.454424E-11
6,21,6.6717913,1.5,1.5,1.28858e-11,116407207934,1.288580E-11
7,21,7.7568458,1.8,1.8,1.186522e-11,151703887496,1.186522E-11
8,21,8.8471507,2.1,2.1,1.399915e-11,150009107696,1.399915E-11
9,21,9.9325447,2.4,2.4,1.612151e-11,148869429725,1.612151E-11
10,21,11.0179615,2.7,2.7,1.47414e-11,183157637673,1.474140E-11
11,21,12.1030402,3,3,1.440507e-11,208260008455,1.440507E-11
12,21,13.1884894,3.3,3.3,1.738564e-11,189811821710,1.738564E-11
13,21,14.2739019,3.6,3.6,2.026179e-11,177674331833,2.026179E-11
14,21,15.3590583,3.9,3.9,1.9392e-11,201113861386,1.939200E-11
15,21,16.4439249,4.2,4.2,1.740303e-11,241337284369,1.740303E-11
16,21,17.5292725,4.5,4.5,2.071411e-11,217243222132,2.071411E-11
17,21,18.6144646,4.8,4.8,2.169409e-11,221258416463,2.169409E-11
18,21,19.7035715,5.1,5.1,2.153752e-11,236796065657,2.153752E-11
19,21,20.7883254,5.4,5.4,2.134036e-11,253041654405,2.134036E-11
20,21,21.8735435,5.7,5.7,2.508056e-11,227267652716,2.508056E-11
21,21,22.9584961,6,6,2.496457e-11,240340610714,2.496457E-11
