index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2995932,0,0,1.213777e-11,0,1.213777E-11
2,21,2.3847587,0.3,0.3,9.313788e-12,32210310133.8,9.313788E-12
3,21,3.4697346,0.6,0.6,1.354686e-11,44290706481.1,1.354686E-11
4,21,4.5549095,0.9,0.9,1.493856e-11,60246770773.1,1.493856E-11
5,21,5.6400904,1.2,1.2,1.831921e-11,65505008130.8,1.831921E-11
6,21,6.7249799,1.5,1.5,1.890487e-11,79344634477.8,1.890487E-11
7,21,7.8101285,1.8,1.8,2.281318e-11,78901757668.2,2.281318E-11
8,21,8.8948932,2.1,2.1,2.419909e-11,86780122723.6,2.419909E-11
9,21,9.9800686,2.4,2.4,2.619389e-11,91624420809.6,2.619389E-11
10,21,11.0650313,2.7,2.7,2.700574e-11,99978745259.3,2.700574E-11
11,21,12.1499963,3,3,3.08387e-11,97280365255.3,3.083870E-11
12,21,13.2352189,3.3,3.3,3.181868e-11,103712661870,3.181868E-11
13,21,14.3203657,3.6,3.6,3.461947e-11,103987727137,3.461947E-11
14,21,15.4051297,3.9,3.9,3.692157e-11,105629310996,3.692157E-11
15,21,16.4902943,4.2,4.2,3.891053e-11,107939932969,3.891053E-11
16,21,17.5752498,4.5,4.5,4.08589e-11,110135123559,4.085890E-11
17,21,18.6600157,4.8,4.8,4.312035e-11,111316350633,4.312035E-11
18,21,19.7450545,5.1,5.1,4.809569e-11,106038607617,4.809569E-11
19,21,20.829882,5.4,5.4,4.752163e-11,113632465890,4.752163E-11
20,21,21.9150641,5.7,5.7,4.944103e-11,115288860285,4.944103E-11
21,21,23.0002257,6,6,5.276368e-11,113714585488,5.276368E-11
