index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2043449,0,0,7.864133e-12,0,7.864133E-12
2,21,2.2896071,0.3,0.3,1.363971e-11,21994602524.5,1.363971E-11
3,21,3.3746202,0.6,0.6,1.276989e-11,46985526108.7,1.276989E-11
4,21,4.459537,0.9,0.9,1.322219e-11,68067392769.3,1.322219E-11
5,21,5.5444501,1.2,1.2,1.582583e-11,75825406945.5,1.582583E-11
6,21,6.6295751,1.5,1.5,1.621434e-11,92510703488.4,1.621434E-11
7,21,7.714525,1.8,1.8,1.58606e-11,113488770917,1.586060E-11
8,21,8.799478,2.1,2.1,1.904993e-11,110236625541,1.904993E-11
9,21,9.8842556,2.4,2.4,2.354981e-11,101911650243,2.354981E-11
10,21,10.9691533,2.7,2.7,2.308012e-11,116983793845,2.308012E-11
11,21,12.0540728,3,3,2.502271e-11,119891090933,2.502271E-11
12,21,13.1392381,3.3,3.3,2.911083e-11,113359873284,2.911083E-11
13,21,14.2245147,3.6,3.6,3.093745e-11,116363824426,3.093745E-11
14,21,15.3096481,3.9,3.9,3.063592e-11,127301546681,3.063592E-11
15,21,16.3948153,4.2,4.2,3.468346e-11,121095184852,3.468346E-11
16,21,17.4799687,4.5,4.5,3.818593e-11,117844452132,3.818593E-11
17,21,18.565295,4.8,4.8,3.878318e-11,123764992969,3.878318E-11
18,21,19.6502199,5.1,5.1,4.230883e-11,120542213056,4.230883E-11
19,21,20.735147,5.4,5.4,4.695365e-11,115007033532,4.695365E-11
20,21,21.8202724,5.7,5.7,4.777708e-11,119304067976,4.777708E-11
21,21,22.905426,6,6,4.901805e-11,122403889996,4.901805E-11
