index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0998286,0,0,1.400497e-11,0,1.400497E-11
2,21,2.1851331,0.3,0.3,9.209414e-12,32575362558.4,9.209414E-12
3,21,3.2700171,0.6,0.6,1.181884e-11,50766403471.1,1.181884E-11
4,21,4.3547583,0.9,0.9,1.15057e-11,78222098612,1.150570E-11
5,21,5.4396931,1.2,1.2,1.227693e-11,97744305783.3,1.227693E-11
6,21,6.5247768,1.5,1.5,1.254367e-11,119582227530,1.254367E-11
7,21,7.6098695,1.8,1.8,1.254946e-11,143432466417,1.254946E-11
8,21,8.6948261,2.1,2.1,1.333808e-11,157443949954,1.333808E-11
9,21,9.7797492,2.4,2.4,1.301338e-11,184425568146,1.301338E-11
10,21,10.8646533,2.7,2.7,1.184203e-11,228001449076,1.184203E-11
11,21,11.9497518,3,3,1.391219e-11,215638228058,1.391219E-11
12,21,13.0346274,3.3,3.3,1.507193e-11,218950061472,1.507193E-11
13,21,14.1196005,3.6,3.6,1.42775e-11,252144983365,1.427750E-11
14,21,15.204496,3.9,3.9,1.230013e-11,317069819587,1.230013E-11
15,21,16.2893986,4.2,4.2,1.34077e-11,313252832328,1.340770E-11
16,21,17.3745762,4.5,4.5,1.757699e-11,256016530703,1.757699E-11
17,21,18.4594452,4.8,4.8,1.497335e-11,320569545225,1.497335E-11
18,21,19.544604,5.1,5.1,1.423691e-11,358223799968,1.423691E-11
19,21,20.6296934,5.4,5.4,1.442248e-11,374415495809,1.442248E-11
20,21,21.7149263,5.7,5.7,1.562861e-11,364715736076,1.562861E-11
21,21,22.8001071,6,6,1.554163e-11,386059892045,1.554163E-11
