index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2196416,0,0,7.26686e-12,0,7.266860E-12
2,21,2.3048464,0.3,0.3,1.013146e-11,29610737248.1,1.013146E-11
3,21,3.389888,0.6,0.6,7.684371e-12,78080561180.6,7.684371E-12
4,21,4.4748436,0.9,0.9,5.103914e-12,176335259567,5.103914E-12
5,21,5.559748,1.2,1.2,5.463437e-12,219641957984,5.463437E-12
6,21,6.6446293,1.5,1.5,8.328028e-12,180114668202,8.328028E-12
7,21,7.7294845,1.8,1.8,6.072308e-12,296427651562,6.072308E-12
8,21,8.8143526,2.1,2.1,5.202491e-12,403652788635,5.202491E-12
9,21,9.8996257,2.4,2.4,8.043899e-12,298362771586,8.043899E-12
10,21,10.9849059,2.7,2.7,6.820352e-12,395873995946,6.820352E-12
11,21,12.0699897,3,3,5.422848e-12,553214842090,5.422848E-12
12,21,13.1568148,3.3,3.3,6.420237e-12,513999716833,6.420237E-12
13,21,14.2418451,3.6,3.6,7.382834e-12,487617627594,7.382834E-12
14,21,15.3268081,3.9,3.9,5.324268e-12,732495058476,5.324268E-12
15,21,16.4119181,4.2,4.2,7.510409e-12,559223871829,7.510409E-12
16,21,17.4970005,4.5,4.5,7.672775e-12,586489242810,7.672775E-12
17,21,18.5818087,4.8,4.8,7.759756e-12,618576151106,7.759756E-12
18,21,19.6670097,5.1,5.1,6.571007e-12,776136747381,6.571007E-12
19,21,20.7523264,5.4,5.4,7.777147e-12,694342025424,7.777147E-12
20,21,21.8371284,5.7,5.7,7.991704e-12,713239629496,7.991704E-12
21,21,22.9240316,6,6,7.643779e-12,784952050550,7.643779E-12
