index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.3081979,0,0,1.016622e-11,0,1.016622E-11
2,21,2.3943133,0.3,0.3,1.147093e-11,26153066926.6,1.147093E-11
3,21,3.4796094,0.6,0.6,1.326854e-11,45219745352.5,1.326854E-11
4,21,4.5651261,0.9,0.9,1.078087e-11,83481203279.5,1.078087E-11
5,21,5.6531603,1.2,1.2,1.047934e-11,114511028366,1.047934E-11
6,21,6.7425101,1.5,1.5,1.092004e-11,137362134205,1.092004E-11
7,21,7.8276943,1.8,1.8,1.065909e-11,168869950437,1.065909E-11
8,21,8.913667,2.1,2.1,9.394968e-12,223523911949,9.394968E-12
9,21,9.9991178,2.4,2.4,1.139555e-11,210608527013,1.139555E-11
10,21,11.0844271,2.7,2.7,1.07171e-11,251933825382,1.071710E-11
11,21,12.1694888,3,3,1.029378e-11,291438130599,1.029378E-11
12,21,13.2553633,3.3,3.3,1.328594e-11,248382876936,1.328594E-11
13,21,14.3408533,3.6,3.6,1.226536e-11,293509526015,1.226536E-11
14,21,15.4259871,3.9,3.9,9.035456e-12,431632891577,9.035456E-12
15,21,16.5117234,4.2,4.2,1.11346e-11,377202593717,1.113460E-11
16,21,17.5975508,4.5,4.5,1.233494e-11,364817340011,1.233494E-11
17,21,18.6829735,4.8,4.8,1.097224e-11,437467645622,1.097224E-11
18,21,19.7681973,5.1,5.1,1.167389e-11,436872370735,1.167389E-11
19,21,20.8532551,5.4,5.4,1.276405e-11,423063212695,1.276405E-11
20,21,21.9388258,5.7,5.7,1.088525e-11,523644381158,1.088525E-11
21,21,23.030638,6,6,1.142454e-11,525185259100,1.142454E-11
