index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0914067,0,0,1.816929e-09,0,1.816929E-09
2,21,2.7816289,0.3,0.3,6.059888e-05,4950.58654549,6.059888E-05
3,21,3.866566,0.6,0.6,0.0001049986,5714.36190578,1.049986E-04
4,21,4.9513107,0.9,0.9,0.0001049981,8571.58367628,1.049981E-04
5,21,6.0364776,1.2,1.2,0.000104998,11428.7891198,1.049980E-04
6,21,7.1212568,1.5,1.5,0.0001049978,14286.0136117,1.049978E-04
7,21,8.2061445,1.8,1.8,0.0001049977,17143.2326613,1.049977E-04
8,21,9.2908595,2.1,2.1,0.0001049977,20000.4381048,1.049977E-04
9,21,10.3760291,2.4,2.4,0.0001049992,22857.3170081,1.049992E-04
10,21,11.4612493,2.7,2.7,0.0001049994,25714.4326539,1.049994E-04
11,21,12.5462569,3,3,0.0001049993,28571.6190489,1.049993E-04
12,21,13.6313505,3.3,3.3,0.0001049993,31428.7809538,1.049993E-04
13,21,14.7166275,3.6,3.6,0.0001049991,34286.0081658,1.049991E-04
14,21,15.8016235,3.9,3.9,0.0001049993,37143.1047636,1.049993E-04
15,21,16.8865321,4.2,4.2,0.0001049991,40000.3428601,1.049991E-04
16,21,17.9713545,4.5,4.5,0.000104999,42857.5510243,1.049990E-04
17,21,19.0563997,4.8,4.8,0.000104999,45714.7210926,1.049990E-04
18,21,20.142092,5.1,5.1,0.000104999,48571.8911609,1.049990E-04
19,21,21.2272259,5.4,5.4,0.0001049988,51429.1591904,1.049988E-04
20,21,22.3125938,5.7,5.7,0.0001049991,54286.1795958,1.049991E-04
21,21,23.3975806,6,6,0.0001049987,57143.5646346,1.049987E-04
