index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0971371,0,0,9.957492e-12,0,9.957492E-12
2,21,2.182171,0.3,0.3,1.163913e-11,25775122367.4,1.163913E-11
3,21,3.2673928,0.6,0.6,7.782944e-12,77091650665.9,7.782944E-12
4,21,4.3524258,0.9,0.9,9.522577e-12,94512231300.4,9.522577E-12
5,21,5.4376798,1.2,1.2,1.13086e-11,106113930991,1.130860E-11
6,21,6.5224628,1.5,1.5,1.066493e-11,140647899236,1.066493E-11
7,21,7.607415,1.8,1.8,8.722339e-12,206366663804,8.722339E-12
8,21,8.6923643,2.1,2.1,1.091427e-11,192408653992,1.091427E-11
9,21,9.7776668,2.4,2.4,1.125642e-11,213211660546,1.125642E-11
10,21,10.8627065,2.7,2.7,9.754531e-12,276794445576,9.754531E-12
11,21,11.947955,3,3,1.184789e-11,253209643236,1.184789E-11
12,21,13.0330783,3.3,3.3,1.293227e-11,255175618820,1.293227E-11
13,21,14.1184047,3.6,3.6,1.045618e-11,344293996469,1.045618E-11
14,21,15.2032605,3.9,3.9,1.032861e-11,377591950901,1.032861E-11
15,21,16.2882964,4.2,4.2,1.257273e-11,334056326669,1.257273E-11
16,21,17.3733844,4.5,4.5,1.212624e-11,371096069350,1.212624E-11
17,21,18.4582249,4.8,4.8,9.064477e-12,529539652426,9.064477E-12
18,21,19.5431108,5.1,5.1,1.18131e-11,431724102903,1.181310E-11
19,21,20.6282067,5.4,5.4,1.300764e-11,415140640424,1.300764E-11
20,21,21.7132705,5.7,5.7,1.098967e-11,518668895426,1.098967E-11
21,21,22.7985138,6,6,1.138979e-11,526787587831,1.138979E-11
