index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2036258,0,0,1.056636e-11,0,1.056636E-11
2,21,2.2886164,0.3,0.3,6.101301e-12,49169840989.7,6.101301E-12
3,21,3.3734553,0.6,0.6,1.054896e-11,56877644810.5,1.054896E-11
4,21,4.4588255,0.9,0.9,1.058955e-11,84989447143.6,1.058955E-11
5,21,5.543816,1.2,1.2,7.678563e-12,156279241311,7.678563E-12
6,21,6.628926,1.5,1.5,1.094906e-11,136998061934,1.094906E-11
7,21,7.7139355,1.8,1.8,1.306561e-11,137766242831,1.306561E-11
8,21,8.7989189,2.1,2.1,1.039817e-11,201958613871,1.039817E-11
9,21,9.8840305,2.4,2.4,1.162753e-11,206406691705,1.162753E-11
10,21,10.9691475,2.7,2.7,1.562868e-11,172759311727,1.562868E-11
11,21,12.05396,3,3,1.373248e-11,218460176166,1.373248E-11
12,21,13.1391863,3.3,3.3,1.41442e-11,233311180555,1.414420E-11
13,21,14.2240598,3.6,3.6,1.722334e-11,209018692077,1.722334E-11
14,21,15.3093301,3.9,3.9,1.588963e-11,245443097165,1.588963E-11
15,21,16.3944073,4.2,4.2,1.533294e-11,273920070124,1.533294E-11
16,21,17.4796129,4.5,4.5,1.570405e-11,286550284799,1.570405E-11
17,21,18.5647948,4.8,4.8,1.88818e-11,254213051722,1.888180E-11
18,21,19.6495589,5.1,5.1,1.624335e-11,313974641930,1.624335E-11
19,21,20.7344413,5.4,5.4,2.124189e-11,254214667339,2.124189E-11
20,21,21.8197981,5.7,5.7,2.182177e-11,261207042325,2.182177E-11
21,21,22.9045902,6,6,1.841788e-11,325770392684,1.841788E-11
