index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0989479,0,0,8.322214e-12,0,8.322214E-12
2,21,2.1840821,0.3,0.3,1.171447e-11,25609353218.7,1.171447E-11
3,21,3.2698461,0.6,0.6,1.227115e-11,48895172824.1,1.227115E-11
4,21,4.3548774,0.9,0.9,9.760292e-12,92210356001.6,9.760292E-12
5,21,5.440154,1.2,1.2,9.035446e-12,132810267473,9.035446E-12
6,21,6.5254251,1.5,1.5,1.072867e-11,139812297330,1.072867E-11
7,21,7.6108194,1.8,1.8,1.115778e-11,161322413598,1.115778E-11
8,21,8.6956825,2.1,2.1,1.041554e-11,201621807415,1.041554E-11
9,21,9.7808803,2.4,2.4,9.226814e-12,260111453423,9.226814E-12
10,21,10.8662937,2.7,2.7,9.760295e-12,276630982977,9.760295E-12
11,21,11.9510485,3,3,1.118679e-11,268173443857,1.118679E-11
12,21,13.0361788,3.3,3.3,1.180725e-11,279489296830,1.180725E-11
13,21,14.1279241,3.6,3.6,1.261908e-11,285282286823,1.261908E-11
14,21,15.2130788,3.9,3.9,1.300179e-11,299958697995,1.300179E-11
15,21,16.298231,4.2,4.2,1.145933e-11,366513574528,1.145933E-11
16,21,17.383075,4.5,4.5,1.126217e-11,399567756480,1.126217E-11
17,21,18.4685824,4.8,4.8,1.009082e-11,475679875372,1.009082E-11
18,21,19.5535457,5.1,5.1,1.053153e-11,484260121749,1.053153E-11
19,21,20.638565,5.4,5.4,1.244511e-11,433905365240,1.244511E-11
20,21,21.728136,5.7,5.7,1.107661e-11,514597877871,1.107661E-11
21,21,22.8152304,6,6,1.122737e-11,534408325369,1.122737E-11
