index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1047535,0,0,8.73393e-12,0,8.733930E-12
2,21,2.1901583,0.3,0.3,1.402818e-11,21385525421,1.402818E-11
3,21,3.2753908,0.6,0.6,1.042716e-11,57542034456.2,1.042716E-11
4,21,4.3605289,0.9,0.9,1.350049e-11,66664247001.4,1.350049E-11
5,21,5.448634,1.2,1.2,1.274664e-11,94142456365,1.274664E-11
6,21,6.5336078,1.5,1.5,9.058646e-12,165587660672,9.058646E-12
7,21,7.6192544,1.8,1.8,1.183043e-11,152150006382,1.183043E-11
8,21,8.7046159,2.1,2.1,1.340189e-11,156694316996,1.340189E-11
9,21,9.7894905,2.4,2.4,8.675938e-12,276627149710,8.675938E-12
10,21,10.8750748,2.7,2.7,1.140715e-11,236693652665,1.140715E-11
11,21,11.9601816,3,3,1.156371e-11,259432310219,1.156371E-11
12,21,13.045026,3.3,3.3,1.060692e-11,311117647724,1.060692E-11
13,21,14.1304168,3.6,3.6,1.228276e-11,293093734633,1.228276E-11
14,21,15.215613,3.9,3.9,3.042702e-11,128175549232,3.042702E-11
15,21,16.3025811,4.2,4.2,1.020681e-11,411489975810,1.020681E-11
16,21,17.3877217,4.5,4.5,1.200442e-11,374861925857,1.200442E-11
17,21,18.4728537,4.8,4.8,1.500817e-11,319825801547,1.500817E-11
18,21,19.5579216,5.1,5.1,1.464284e-11,348293090685,1.464284E-11
19,21,20.6430596,5.4,5.4,1.279304e-11,422104519332,1.279304E-11
20,21,21.7280034,5.7,5.7,1.626069e-11,350538630280,1.626069E-11
21,21,22.8141517,6,6,1.298441e-11,462092617223,1.298441E-11
