index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1850592,0,0,5.74758e-12,0,5.747580E-12
2,21,2.2698358,0.3,0.3,9.986489e-12,30040587838.2,9.986489E-12
3,21,3.354873,0.6,0.6,9.4356e-12,63588960956.4,9.435600E-12
4,21,4.4396907,0.9,0.9,9.099265e-12,98909087712,9.099265E-12
5,21,5.5249159,1.2,1.2,9.429799e-12,127256158906,9.429799E-12
6,21,6.6099435,1.5,1.5,1.139557e-11,131630098363,1.139557E-11
7,21,7.6952662,1.8,1.8,1.194646e-11,150672249353,1.194646E-11
8,21,8.7804151,2.1,2.1,1.278727e-11,164225827718,1.278727E-11
9,21,9.865324,2.4,2.4,1.297287e-11,185001468449,1.297287E-11
10,21,10.9503072,2.7,2.7,1.410362e-11,191440211804,1.410362E-11
11,21,12.0352463,3,3,1.826714e-11,164229321065,1.826714E-11
12,21,13.1202877,3.3,3.3,1.085051e-11,304133169777,1.085051E-11
13,21,14.2051614,3.6,3.6,1.634195e-11,220291948023,1.634195E-11
14,21,15.2901198,3.9,3.9,1.830774e-11,213024655146,1.830774E-11
15,21,16.3753169,4.2,4.2,2.255245e-11,186232537928,2.255245E-11
16,21,17.4605119,4.5,4.5,2.357884e-11,190849083331,2.357884E-11
17,21,18.5453232,4.8,4.8,2.118973e-11,226524830661,2.118973E-11
18,21,19.6301371,5.1,5.1,2.785832e-11,183069187230,2.785832E-11
19,21,20.7149124,5.4,5.4,2.120713e-11,254631343327,2.120713E-11
20,21,21.7998602,5.7,5.7,3.089689e-11,184484587284,3.089689E-11
21,21,22.8847001,6,6,2.247707e-11,266938706869,2.247707E-11
