index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1943233,0,0,9.342821e-12,0,9.342821E-12
2,21,2.2792972,0.3,0.3,8.165664e-12,36739204552.1,8.165664E-12
3,21,3.3644575,0.6,0.6,8.525186e-12,70379696114.5,8.525186E-12
4,21,4.4497718,0.9,0.9,1.3141e-11,68487938513.1,1.314100E-11
5,21,5.5349439,1.2,1.2,1.286266e-11,93293300141.7,1.286266E-11
6,21,6.6197285,1.5,1.5,1.134918e-11,132168139020,1.134918E-11
7,21,7.7047792,1.8,1.8,1.535612e-11,117217109530,1.535612E-11
8,21,8.7900331,2.1,2.1,1.831928e-11,114633326201,1.831928E-11
9,21,9.8752327,2.4,2.4,1.517058e-11,158200938923,1.517058E-11
10,21,10.9603045,2.7,2.7,1.751329e-11,154168634220,1.751329E-11
11,21,12.0455842,3,3,2.360778e-11,127076751817,2.360778E-11
12,21,13.1307154,3.3,3.3,2.084758e-11,158291753767,2.084758E-11
13,21,14.2155511,3.6,3.6,2.073161e-11,173647873947,2.073161E-11
14,21,15.3020328,3.9,3.9,2.67391e-11,145853824549,2.673910E-11
15,21,16.3869958,4.2,4.2,2.422245e-11,173392864884,2.422245E-11
16,21,17.4723372,4.5,4.5,2.565477e-11,175405977134,2.565477E-11
17,21,18.5572971,4.8,4.8,3.15463e-11,152157305294,3.154630E-11
18,21,19.642985,5.1,5.1,3.180724e-11,160340853215,3.180724E-11
19,21,20.7278878,5.4,5.4,3.01836e-11,178905100783,3.018360E-11
20,21,21.8128191,5.7,5.7,3.642308e-11,156494178966,3.642308E-11
21,21,22.8981554,6,6,3.684636e-11,162838337355,3.684636E-11
