index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0995293,0,0,1.049094e-11,0,1.049094E-11
2,21,2.1855676,0.3,0.3,1.762339e-11,17022831589.2,1.762339E-11
3,21,3.2705394,0.6,0.6,1.601713e-11,37459894500.5,1.601713E-11
4,21,4.3557055,0.9,0.9,1.450366e-11,62053302407.8,1.450366E-11
5,21,5.4409144,1.2,1.2,1.61157e-11,74461549917.2,1.611570E-11
6,21,6.5261032,1.5,1.5,1.461382e-11,102642567104,1.461382E-11
7,21,7.6112268,1.8,1.8,1.524008e-11,118109616222,1.524008E-11
8,21,8.6964899,2.1,2.1,1.562279e-11,134419012225,1.562279E-11
9,21,9.781753,2.4,2.4,1.781475e-11,134719824864,1.781475E-11
10,21,10.8669594,2.7,2.7,1.739725e-11,155196942045,1.739725E-11
11,21,11.9520592,3,3,1.724647e-11,173948639925,1.724647E-11
12,21,13.0372191,3.3,3.3,1.618529e-11,203888839805,1.618529E-11
13,21,14.1223451,3.6,3.6,1.650423e-11,218125898633,1.650423E-11
14,21,15.2073136,3.9,3.9,1.833662e-11,212689143364,1.833662E-11
15,21,16.2923456,4.2,4.2,1.856857e-11,226188661809,1.856857E-11
16,21,17.3771698,4.5,4.5,1.644624e-11,273618772437,1.644624E-11
17,21,18.4619744,4.8,4.8,2.067352e-11,232181070277,2.067352E-11
18,21,19.5470958,5.1,5.1,2.027341e-11,251561034873,2.027341E-11
19,21,20.6319609,5.4,5.4,2.055754e-11,262677343690,2.055754E-11
20,21,21.7172208,5.7,5.7,1.902667e-11,299579485007,1.902667E-11
21,21,22.8024246,6,6,1.968774e-11,304758189614,1.968774E-11
