index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0921971,0,0,9.90528e-12,0,9.905280E-12
2,21,2.1772985,0.3,0.3,1.57968e-11,18991188088.7,1.579680E-11
3,21,3.262278,0.6,0.6,1.282784e-11,46773268141.8,1.282784E-11
4,21,4.3473212,0.9,0.9,1.177827e-11,76411900898.9,1.177827E-11
5,21,5.4322401,1.2,1.2,9.841482e-12,121932855235,9.841482E-12
6,21,6.5173615,1.5,1.5,1.393539e-11,107639613961,1.393539E-11
7,21,7.602126,1.8,1.8,1.016621e-11,177057133386,1.016621E-11
8,21,8.6879319,2.1,2.1,1.147091e-11,183071787679,1.147091E-11
9,21,9.7731672,2.4,2.4,1.315257e-11,182473843515,1.315257E-11
10,21,10.8585355,2.7,2.7,1.198123e-11,225352488851,1.198123E-11
11,21,11.9438809,3,3,1.097804e-11,273272824657,1.097804E-11
12,21,13.029671,3.3,3.3,1.395861e-11,236413224526,1.395861E-11
13,21,14.1150359,3.6,3.6,1.281045e-11,281020573048,1.281045E-11
14,21,15.2059377,3.9,3.9,1.2103e-11,322234156821,1.210300E-11
15,21,16.2983294,4.2,4.2,1.078088e-11,389578587277,1.078088E-11
16,21,17.3836675,4.5,4.5,1.352949e-11,332606772317,1.352949E-11
17,21,18.4688569,4.8,4.8,1.426594e-11,336465735872,1.426594E-11
18,21,19.5541371,5.1,5.1,1.140135e-11,447315449486,1.140135E-11
19,21,20.6400616,5.4,5.4,1.236974e-11,436549191818,1.236974E-11
20,21,21.7255493,5.7,5.7,1.424852e-11,400041548175,1.424852E-11
21,21,22.8107936,6,6,1.401078e-11,428241682476,1.401078E-11
