index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2724428,0,0,9.012261e-12,0,9.012261E-12
2,21,2.3579429,0.3,0.3,8.919481e-12,33634243965.5,8.919481E-12
3,21,3.4428838,0.6,0.6,9.313791e-12,64420599517.4,9.313791E-12
4,21,4.5282997,0.9,0.9,8.061263e-12,111645036268,8.061263E-12
5,21,5.6134656,1.2,1.2,9.481949e-12,126556259689,9.481949E-12
6,21,6.6987171,1.5,1.5,1.23929e-11,121037045405,1.239290E-11
7,21,7.783925,1.8,1.8,1.062429e-11,169423086154,1.062429E-11
8,21,8.8688405,2.1,2.1,8.635332e-12,243186944057,8.635332E-12
9,21,9.9538478,2.4,2.4,9.551543e-12,251268302933,9.551543E-12
10,21,11.0388744,2.7,2.7,1.049673e-11,257222963723,1.049673E-11
11,21,12.1240537,3,3,1.186524e-11,252839386308,1.186524E-11
12,21,13.2098022,3.3,3.3,1.017201e-11,324419657472,1.017201E-11
13,21,14.2950659,3.6,3.6,8.380193e-12,429584378307,8.380193E-12
14,21,15.3800254,3.9,3.9,1.059531e-11,368087389609,1.059531E-11
15,21,16.4648407,4.2,4.2,1.307717e-11,321170406135,1.307717E-11
16,21,17.549757,4.5,4.5,1.178406e-11,381871782730,1.178406E-11
17,21,18.6347861,4.8,4.8,1.046774e-11,458551702660,1.046774E-11
18,21,19.7196397,5.1,5.1,9.064445e-12,562637866963,9.064445E-12
19,21,20.8048329,5.4,5.4,1.06649e-11,506333861546,1.066490E-11
20,21,21.8899907,5.7,5.7,1.309457e-11,435294935229,1.309457E-11
21,21,22.9758094,6,6,1.170867e-11,512440781062,1.170867E-11
