index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2665097,0,0,1.185944e-11,0,1.185944E-11
2,21,2.3519011,0.3,0.3,1.028798e-11,29160243313.1,1.028798E-11
3,21,3.4368533,0.6,0.6,1.312356e-11,45719301774.8,1.312356E-11
4,21,4.5219371,0.9,0.9,1.74552e-11,51560566478.8,1.745520E-11
5,21,5.6071497,1.2,1.2,1.397016e-11,85897369822.5,1.397016E-11
6,21,6.692404,1.5,1.5,1.809884e-11,82878239710.4,1.809884E-11
7,21,7.7775918,1.8,1.8,1.880049e-11,95742185443,1.880049E-11
8,21,8.8626158,2.1,2.1,1.773932e-11,118381087888,1.773932E-11
9,21,9.9480593,2.4,2.4,1.949057e-11,123136470611,1.949057E-11
10,21,11.0331315,2.7,2.7,2.278426e-11,118502861186,2.278426E-11
11,21,12.1179798,3,3,2.316116e-11,129527191211,2.316116E-11
12,21,13.2028809,3.3,3.3,2.44485e-11,134977605988,2.444850E-11
13,21,14.2879882,3.6,3.6,2.639107e-11,136409778004,2.639107E-11
14,21,15.3729075,3.9,3.9,2.553285e-11,152744405736,2.553285E-11
15,21,16.4591473,4.2,4.2,3.057197e-11,137380744519,3.057197E-11
16,21,17.5439926,4.5,4.5,3.061254e-11,146998582934,3.061254E-11
17,21,18.6292305,4.8,4.8,3.245073e-11,147916549181,3.245073E-11
18,21,19.7142587,5.1,5.1,3.096626e-11,164695381360,3.096626E-11
19,21,20.799059,5.4,5.4,3.519353e-11,153437293730,3.519353E-11
20,21,21.883905,5.7,5.7,3.686355e-11,154624283337,3.686355E-11
21,21,22.9688137,6,6,3.689837e-11,162608809007,3.689837E-11
