index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.3152095,0,0,1.303658e-11,0,1.303658E-11
2,21,2.4001204,0.3,0.3,1.115199e-11,26901028426.3,1.115199E-11
3,21,3.4852383,0.6,0.6,1.468922e-11,40846280469.6,1.468922E-11
4,21,4.5700002,0.9,0.9,1.33497e-11,67417245331.4,1.334970E-11
5,21,5.6554939,1.2,1.2,1.509512e-11,79495890062.5,1.509512E-11
6,21,6.7406796,1.5,1.5,1.795389e-11,83547353804.7,1.795389E-11
7,21,7.8257041,1.8,1.8,1.819742e-11,98915120934.7,1.819742E-11
8,21,8.910926,2.1,2.1,1.971088e-11,106540144326,1.971088E-11
9,21,9.9957177,2.4,2.4,1.973413e-11,121616711758,1.973413E-11
10,21,11.080925,2.7,2.7,2.223338e-11,121439025465,2.223338E-11
11,21,12.1658734,3,3,2.519654e-11,119063966719,2.519654E-11
12,21,13.2510544,3.3,3.3,2.620551e-11,125927715202,2.620551E-11
13,21,14.3362481,3.6,3.6,2.644906e-11,136110697318,2.644906E-11
14,21,15.4210643,3.9,3.9,2.738844e-11,142395842918,2.738844E-11
15,21,16.5061446,4.2,4.2,2.879175e-11,145875120477,2.879175E-11
16,21,17.590979,4.5,4.5,3.15867e-11,142465024836,3.158670E-11
17,21,18.676167,4.8,4.8,3.16505e-11,151656371937,3.165050E-11
18,21,19.7614874,5.1,5.1,3.30596e-11,154266839284,3.305960E-11
19,21,20.846665,5.4,5.4,3.663162e-11,147413627899,3.663162E-11
20,21,21.9317819,5.7,5.7,3.903809e-11,146011241841,3.903809E-11
21,21,23.0167454,6,6,3.765802e-11,159328610479,3.765802E-11
