index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2397461,0,0,1.082731e-11,0,1.082731E-11
2,21,2.3250029,0.3,0.3,1.101286e-11,27240880207.3,1.101286E-11
3,21,3.4102004,0.6,0.6,8.444008e-12,71056304067.9,8.444008E-12
4,21,4.4950316,0.9,0.9,1.475306e-11,61004293346.6,1.475306E-11
5,21,5.579958,1.2,1.2,1.726393e-11,69509086285.7,1.726393E-11
6,21,6.6651542,1.5,1.5,1.442832e-11,103962207658,1.442832E-11
7,21,7.7499606,1.8,1.8,1.303082e-11,138134054495,1.303082E-11
8,21,8.8352719,2.1,2.1,2.043581e-11,102760790984,2.043581E-11
9,21,9.9203701,2.4,2.4,1.989659e-11,120623684762,1.989659E-11
10,21,11.0060104,2.7,2.7,2.198994e-11,122783418236,2.198994E-11
11,21,12.091203,3,3,2.749875e-11,109095867994,2.749875E-11
12,21,13.1761025,3.3,3.3,2.151445e-11,153385282915,2.151445E-11
13,21,14.2615441,3.6,3.6,2.521986e-11,142744646481,2.521986E-11
14,21,15.3473526,3.9,3.9,3.420215e-11,114027919297,3.420215E-11
15,21,16.4322389,4.2,4.2,3.460807e-11,121358977834,3.460807E-11
16,21,17.5170253,4.5,4.5,3.294381e-11,136596222477,3.294381E-11
17,21,18.6020211,4.8,4.8,3.965299e-11,121050140229,3.965299E-11
18,21,19.6872985,5.1,5.1,3.922968e-11,130003609512,3.922968E-11
19,21,20.772525,5.4,5.4,4.127665e-11,130824570308,4.127665E-11
20,21,21.85739,5.7,5.7,4.754513e-11,119886095590,4.754513E-11
21,21,22.9427218,6,6,4.717977e-11,127173150696,4.717977E-11
