index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.3152561,0,0,9.87628e-12,0,9.876280E-12
2,21,2.400131,0.3,0.3,1.39006e-11,21581802224.4,1.390060E-11
3,21,3.4851462,0.6,0.6,2.433254e-11,24658338176,2.433254E-11
4,21,4.5703488,0.9,0.9,2.528934e-11,35588117364.9,2.528934E-11
5,21,5.6553038,1.2,1.2,3.293785e-11,36432250435.3,3.293785E-11
6,21,6.7403616,1.5,1.5,3.740865e-11,40097677943.5,3.740865E-11
7,21,7.8252552,1.8,1.8,4.717369e-11,38156862437.5,4.717369E-11
8,21,8.9104115,2.1,2.1,5.44917e-11,38537979178.5,5.449170E-11
9,21,9.9955315,2.4,2.4,6.23317e-11,38503682716.8,6.233170E-11
10,21,11.0805012,2.7,2.7,7.087911e-11,38093029102.7,7.087911E-11
11,21,12.1653893,3,3,7.976855e-11,37608806979.7,7.976855E-11
12,21,13.2506123,3.3,3.3,8.974244e-11,36771899672,8.974244E-11
13,21,14.3356531,3.6,3.6,9.68342e-11,37176947813.9,9.683420E-11
14,21,15.4208926,3.9,3.9,1.166022e-10,33447053314.6,1.166022E-10
15,21,16.5057444,4.2,4.2,1.36254e-10,30824783125.6,1.362540E-10
16,21,17.5908185,4.5,4.5,1.55187e-10,28997274256.2,1.551870E-10
17,21,18.6760531,4.8,4.8,1.736211e-10,27646409336.2,1.736211E-10
18,21,19.761004,5.1,5.1,1.992806e-10,25592054620.5,1.992806E-10
19,21,20.8457944,5.4,5.4,2.226264e-10,24255883399.3,2.226264E-10
20,21,21.9305764,5.7,5.7,2.570243e-10,22176891445.7,2.570243E-10
21,21,23.0159084,6,6,2.871893e-10,20892143265.8,2.871893E-10
