index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.188137,0,0,8.02069e-12,0,8.020690E-12
2,21,2.2732387,0.3,0.3,9.279022e-12,32330993503.4,9.279022E-12
3,21,3.3581641,0.6,0.6,8.501986e-12,70571746413.1,8.501986E-12
4,21,4.4432722,0.9,0.9,1.54141e-11,58388099207.9,1.541410E-11
5,21,5.528222,1.2,1.2,1.880057e-11,63827852027.9,1.880057E-11
6,21,6.6133978,1.5,1.5,1.528072e-11,98162913789.4,1.528072E-11
7,21,7.6983695,1.8,1.8,2.2303e-11,80706631394.9,2.230300E-11
8,21,8.7836017,2.1,2.1,2.477904e-11,84749045967.9,2.477904E-11
9,21,9.8688346,2.4,2.4,2.10621e-11,113948751549,2.106210E-11
10,21,10.9536389,2.7,2.7,2.794524e-11,96617527707.8,2.794524E-11
11,21,12.0387642,3,3,2.771327e-11,108251390038,2.771327E-11
12,21,13.1242337,3.3,3.3,2.760309e-11,119551832784,2.760309E-11
13,21,14.2093088,3.6,3.6,3.594752e-11,100145990600,3.594752E-11
14,21,15.2941171,3.9,3.9,3.637663e-11,107211690583,3.637663E-11
15,21,16.3790585,4.2,4.2,3.430647e-11,122425886429,3.430647E-11
16,21,17.4642227,4.5,4.5,4.567784e-11,98516041914.4,4.567784E-11
17,21,18.5493424,4.8,4.8,4.247113e-11,113017948898,4.247113E-11
18,21,19.63547,5.1,5.1,4.390921e-11,116148753303,4.390921E-11
19,21,20.720357,5.4,5.4,5.180708e-11,104232857748,5.180708E-11
20,21,21.805116,5.7,5.7,4.994573e-11,114123870049,4.994573E-11
21,21,22.8901067,6,6,5.199269e-11,115400838079,5.199269E-11
