index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2653294,0,0,1.422533e-11,0,1.422533E-11
2,21,2.3504854,0.3,0.3,8.223632e-12,36480231605.7,8.223632E-12
3,21,3.4354125,0.6,0.6,9.69071e-12,61914968046.7,9.690710E-12
4,21,4.5208204,0.9,0.9,8.722318e-12,103183580328,8.722318E-12
5,21,5.6079821,1.2,1.2,9.284793e-12,129243592183,9.284793E-12
6,21,6.6930056,1.5,1.5,1.10824e-11,135349743738,1.108240E-11
7,21,7.7785588,1.8,1.8,9.023846e-12,199471489208,9.023846E-12
8,21,8.8638199,2.1,2.1,9.018044e-12,232866461951,9.018044E-12
9,21,9.949029,2.4,2.4,9.232608e-12,259948218315,9.232608E-12
10,21,11.0374634,2.7,2.7,1.134915e-11,237903279100,1.134915E-11
11,21,12.1229089,3,3,9.679112e-12,309945788415,9.679112E-12
12,21,13.2080985,3.3,3.3,9.974846e-12,330832175254,9.974846E-12
13,21,14.2932155,3.6,3.6,1.045614e-11,344295313567,1.045614E-11
14,21,15.3784133,3.9,3.9,1.187683e-11,328370449017,1.187683E-11
15,21,16.4632346,4.2,4.2,9.748697e-12,430826806906,9.748697E-12
16,21,17.5481683,4.5,4.5,9.940057e-12,452713701742,9.940057E-12
17,21,18.6331562,4.8,4.8,1.061851e-11,452040823053,1.061851E-11
18,21,19.7181969,5.1,5.1,1.172027e-11,435143558979,1.172027E-11
19,21,20.8035277,5.4,5.4,1.122158e-11,481215657688,1.122158E-11
20,21,21.8893691,5.7,5.7,9.725502e-12,586087998337,9.725502E-12
21,21,22.9751987,6,6,1.050253e-11,571290917522,1.050253E-11
