index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1956123,0,0,7.417627e-12,0,7.417627E-12
2,21,2.2806266,0.3,0.3,1.027642e-11,29193045827.2,1.027642E-11
3,21,3.3670071,0.6,0.6,8.252649e-12,72703928156.9,8.252649E-12
4,21,4.4520711,0.9,0.9,8.490398e-12,106002097899,8.490398E-12
5,21,5.5370963,1.2,1.2,7.811939e-12,153611030501,7.811939E-12
6,21,6.6218988,1.5,1.5,8.583171e-12,174760586734,8.583171E-12
7,21,7.7068037,1.8,1.8,8.183053e-12,219966802121,8.183053E-12
8,21,8.7918915,2.1,2.1,8.954289e-12,234524483183,8.954289E-12
9,21,9.8771775,2.4,2.4,8.038093e-12,298578282187,8.038093E-12
10,21,10.9621714,2.7,2.7,7.614785e-12,354573372722,7.614785E-12
11,21,12.0472297,3,3,7.220469e-12,415485476082,7.220469E-12
12,21,13.1320057,3.3,3.3,9.145656e-12,360827041822,9.145656E-12
13,21,14.216916,3.6,3.6,8.948505e-12,402301837011,8.948505E-12
14,21,15.3017521,3.9,3.9,8.415014e-12,463457339465,8.415014E-12
15,21,16.386735,4.2,4.2,1.126801e-11,372736623414,1.126801E-11
16,21,17.4717876,4.5,4.5,9.186249e-12,489862619661,9.186249E-12
17,21,18.5565579,4.8,4.8,7.266857e-12,660533157595,7.266857E-12
18,21,19.6416633,5.1,5.1,8.594776e-12,593383701914,8.594776E-12
19,21,20.7268894,5.4,5.4,9.279032e-12,581957255886,9.279032E-12
20,21,21.8117766,5.7,5.7,9.766129e-12,583649878063,9.766129E-12
21,21,22.8967728,6,6,8.333828e-12,719957263337,8.333828E-12
