index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.3124833,0,0,8.432387e-12,0,8.432387E-12
2,21,2.3977563,0.3,0.3,1.163329e-11,25788061674.7,1.163329E-11
3,21,3.4830183,0.6,0.6,1.134915e-11,52867395355.6,1.134915E-11
4,21,4.5681069,0.9,0.9,1.159848e-11,77596374697.4,1.159848E-11
5,21,5.6532357,1.2,1.2,1.135494e-11,105680875460,1.135494E-11
6,21,6.7380997,1.5,1.5,1.294378e-11,115885776798,1.294378E-11
7,21,7.8233449,1.8,1.8,1.347726e-11,133558304878,1.347726E-11
8,21,8.9080736,2.1,2.1,1.32917e-11,157993334186,1.329170E-11
9,21,9.9929501,2.4,2.4,1.586637e-11,151263332445,1.586637E-11
10,21,11.0780668,2.7,2.7,1.38716e-11,194642290723,1.387160E-11
11,21,12.1630686,3,3,1.492696e-11,200978631952,1.492696E-11
12,21,13.2479532,3.3,3.3,1.514732e-11,217860321166,1.514732E-11
13,21,14.3327833,3.6,3.6,1.519371e-11,236940154840,1.519371E-11
14,21,15.417967,3.9,3.9,1.52401e-11,255903832652,1.524010E-11
15,21,16.5027922,4.2,4.2,1.629547e-11,257740341334,1.629547E-11
16,21,17.5878157,4.5,4.5,1.722327e-11,261274426982,1.722327E-11
17,21,18.6728971,4.8,4.8,1.743202e-11,275355351818,1.743202E-11
18,21,19.7577768,5.1,5.1,1.739723e-11,293150116427,1.739723E-11
19,21,20.8427898,5.4,5.4,1.765818e-11,305807280252,1.765818E-11
20,21,21.9281085,5.7,5.7,1.947897e-11,292623275255,1.947897E-11
21,21,23.0131693,6,6,2.001826e-11,299726349843,2.001826E-11
