index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1012456,0,0,6.85513e-12,0,6.855130E-12
2,21,2.1862032,0.3,0.3,1.263068e-11,23751690328.6,1.263068E-11
3,21,3.2711212,0.6,0.6,1.201021e-11,49957494498.4,1.201021E-11
4,21,4.3561338,0.9,0.9,1.197541e-11,75154003078,1.197541E-11
5,21,5.4411967,1.2,1.2,1.197541e-11,100205337437,1.197541E-11
6,21,6.5262704,1.5,1.5,1.377881e-11,108862811810,1.377881E-11
7,21,7.6112757,1.8,1.8,1.359325e-11,132418663675,1.359325E-11
8,21,8.6963366,2.1,2.1,1.169126e-11,179621358177,1.169126E-11
9,21,9.7812695,2.4,2.4,1.198121e-11,200313657803,1.198121E-11
10,21,10.8665064,2.7,2.7,1.324534e-11,203845276905,1.324534E-11
11,21,11.9514892,3,3,1.448048e-11,207175452747,1.448048E-11
12,21,13.0364568,3.3,3.3,1.354688e-11,243598526007,1.354688E-11
13,21,14.1214762,3.6,3.6,1.409776e-11,255359716721,1.409776E-11
14,21,15.2063307,3.9,3.9,1.583158e-11,246343068727,1.583158E-11
15,21,16.2915161,4.2,4.2,1.52981e-11,274543897608,1.529810E-11
16,21,17.3766324,4.5,4.5,1.420213e-11,316853880369,1.420213E-11
17,21,18.4618159,4.8,4.8,1.452107e-11,330554153379,1.452107E-11
18,21,19.5468532,5.1,5.1,1.551845e-11,328641069179,1.551845E-11
19,21,20.6318696,5.4,5.4,1.556483e-11,346936008938,1.556483E-11
20,21,21.7166692,5.7,5.7,1.658541e-11,343675555805,1.658541E-11
21,21,22.8016699,6,6,1.710731e-11,350727262205,1.710731E-11
