index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1002518,0,0,7.985891e-12,0,7.985891E-12
2,21,2.185387,0.3,0.3,1.307139e-11,22950887396.1,1.307139E-11
3,21,3.2706012,0.6,0.6,1.172028e-11,51193316200.6,1.172028E-11
4,21,4.3559076,0.9,0.9,1.191744e-11,75519574673.8,1.191744E-11
5,21,5.441674,1.2,1.2,1.02068e-11,117568679704,1.020680E-11
6,21,6.5268531,1.5,1.5,1.138974e-11,131697475096,1.138974E-11
7,21,7.6118648,1.8,1.8,1.06533e-11,168961730168,1.065330E-11
8,21,8.6969078,2.1,2.1,1.268285e-11,165577926097,1.268285E-11
9,21,9.7820682,2.4,2.4,1.351789e-11,177542501086,1.351789E-11
10,21,10.8668522,2.7,2.7,1.217838e-11,221704364620,1.217838E-11
11,21,11.9518588,3,3,1.269447e-11,236323375454,1.269447E-11
12,21,13.0366533,3.3,3.3,1.245092e-11,265040655630,1.245092E-11
13,21,14.1216222,3.6,3.6,1.285683e-11,280006813499,1.285683E-11
14,21,15.2065954,3.9,3.9,1.224217e-11,318570972303,1.224217E-11
15,21,16.2920005,4.2,4.2,1.519373e-11,276429816773,1.519373E-11
16,21,17.3772355,4.5,4.5,1.311197e-11,343197856615,1.311197E-11
17,21,18.4619956,4.8,4.8,1.397019e-11,343588741456,1.397019E-11
18,21,19.5471622,5.1,5.1,1.515314e-11,336563906887,1.515314E-11
19,21,20.6321804,5.4,5.4,1.404558e-11,384462585383,1.404558E-11
20,21,21.7170274,5.7,5.7,1.416155e-11,402498314097,1.416155E-11
21,21,22.8017507,6,6,1.530391e-11,392056670485,1.530391E-11
