index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0990681,0,0,6.559393e-12,0,6.559393E-12
2,21,2.1843331,0.3,0.3,1.660281e-11,18069230449.5,1.660281E-11
3,21,3.2696819,0.6,0.6,1.34193e-11,44711721177.7,1.341930E-11
4,21,4.3544404,0.9,0.9,9.047048e-12,99479962966.9,9.047048E-12
5,21,5.4397397,1.2,1.2,1.485157e-11,80799538365.3,1.485157E-11
6,21,6.5262554,1.5,1.5,1.10534e-11,135704850996,1.105340E-11
7,21,7.6113486,1.8,1.8,1.009661e-11,178277659531,1.009661E-11
8,21,8.6965867,2.1,2.1,1.548942e-11,135576412803,1.548942E-11
9,21,9.7818706,2.4,2.4,9.835681e-12,244009540366,9.835681E-12
10,21,10.8670867,2.7,2.7,1.217838e-11,221704364620,1.217838E-11
11,21,11.9520133,3,3,1.626069e-11,184494015937,1.626069E-11
12,21,13.0419346,3.3,3.3,1.015461e-11,324975552975,1.015461E-11
13,21,14.127008,3.6,3.6,1.624908e-11,221551004734,1.624908E-11
14,21,15.2118622,3.9,3.9,1.259008e-11,309767690118,1.259008E-11
15,21,16.2970367,4.2,4.2,9.696511e-12,433145489135,9.696511E-12
16,21,17.3821167,4.5,4.5,1.424851e-11,315822496528,1.424851E-11
17,21,18.4677787,4.8,4.8,1.218417e-11,393953794144,1.218417E-11
18,21,19.5551003,5.1,5.1,1.232334e-11,413848842927,1.232334E-11
19,21,20.6403233,5.4,5.4,1.605191e-11,336408564464,1.605191E-11
20,21,21.7258125,5.7,5.7,1.014301e-11,561963361961,1.014301E-11
21,21,22.8110966,6,6,1.127376e-11,532209307276,1.127376E-11
