index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2444327,0,0,1.038658e-11,0,1.038658E-11
2,21,2.329578,0.3,0.3,1.190005e-11,25209978109.3,1.190005E-11
3,21,3.4150321,0.6,0.6,1.111142e-11,53998498841.7,1.111142E-11
4,21,4.5004252,0.9,0.9,1.136076e-11,79220052179.6,1.136076E-11
5,21,5.5855944,1.2,1.2,9.412381e-12,127491651687,9.412381E-12
6,21,6.6713016,1.5,1.5,1.075189e-11,139510355854,1.075189E-11
7,21,7.7595954,1.8,1.8,1.20392e-11,149511595455,1.203920E-11
8,21,8.8452547,2.1,2.1,1.110561e-11,189093620251,1.110561E-11
9,21,9.9300588,2.4,2.4,9.684926e-12,247807778810,9.684926E-12
10,21,11.0153732,2.7,2.7,1.113462e-11,242486946119,1.113462E-11
11,21,12.1115906,3,3,1.254371e-11,239163692400,1.254371E-11
12,21,13.1972911,3.3,3.3,1.191745e-11,276904874784,1.191745E-11
13,21,14.2832608,3.6,3.6,1.250313e-11,287927902853,1.250313E-11
14,21,15.3684079,3.9,3.9,1.270608e-11,306939669827,1.270608E-11
15,21,16.4603503,4.2,4.2,1.152313e-11,364484302442,1.152313E-11
16,21,17.5464679,4.5,4.5,1.332654e-11,337672043906,1.332654E-11
17,21,18.6320043,4.8,4.8,1.109402e-11,432665526112,1.109402E-11
18,21,19.7172202,5.1,5.1,1.07577e-11,474079031763,1.075770E-11
19,21,20.8091523,5.4,5.4,1.364547e-11,395735727681,1.364547E-11
20,21,21.8947302,5.7,5.7,1.094905e-11,520593110818,1.094905E-11
21,21,22.9802078,6,6,1.35295e-11,443475368639,1.352950E-11
