index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0980964,0,0,7.608987e-12,0,7.608987E-12
2,21,2.1828734,0.3,0.3,1.337877e-11,22423586024.7,1.337877E-11
3,21,3.2679177,0.6,0.6,1.74321e-11,34419261018.5,1.743210E-11
4,21,4.3528147,0.9,0.9,1.778002e-11,50618615727.1,1.778002E-11
5,21,5.4376739,1.2,1.2,2.102733e-11,57068586453.9,2.102733E-11
6,21,6.5231097,1.5,1.5,2.542856e-11,58988790556.8,2.542856E-11
7,21,7.6080472,1.8,1.8,2.917454e-11,61697630879.5,2.917454E-11
8,21,8.6934921,2.1,2.1,3.387153e-11,61998970817.1,3.387153E-11
9,21,9.778378,2.4,2.4,3.862085e-11,62142599140.1,3.862085E-11
10,21,10.8632798,2.7,2.7,4.380494e-11,61636883876.6,4.380494E-11
11,21,11.9482481,3,3,4.76495e-11,62959737248,4.764950E-11
12,21,13.033231,3.3,3.3,5.16565e-11,63883538373.7,5.165650E-11
13,21,14.1180709,3.6,3.6,4.988204e-11,72170264087,4.988204E-11
14,21,15.2030532,3.9,3.9,6.24654e-11,62434563774.5,6.246540E-11
15,21,16.2883398,4.2,4.2,6.316119e-11,66496530543.5,6.316119E-11
16,21,17.3736241,4.5,4.5,7.446306e-11,60432649423.8,7.446306E-11
17,21,18.4588125,4.8,4.8,8.03024e-11,59774054075.6,8.030240E-11
18,21,19.5439586,5.1,5.1,8.719713e-11,58488163543.9,8.719713E-11
19,21,20.6289624,5.4,5.4,9.362797e-11,57675072951,9.362797E-11
20,21,21.7141818,5.7,5.7,9.940921e-11,57338751610.6,9.940921E-11
21,21,22.7993711,6,6,1.058054e-10,56707880694.2,1.058054E-10
