index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1955211,0,0,8.809316e-12,0,8.809316E-12
2,21,2.280647,0.3,0.3,1.252051e-11,23960685307.5,1.252051E-11
3,21,3.3656842,0.6,0.6,1.115781e-11,53773993283.6,1.115781E-11
4,21,4.4508289,0.9,0.9,1.118679e-11,80452033157,1.118679E-11
5,21,5.5356508,1.2,1.2,1.278724e-11,93843550289.2,1.278724E-11
6,21,6.620654,1.5,1.5,1.155211e-11,129846409011,1.155211E-11
7,21,7.7056222,1.8,1.8,1.278724e-11,140765325434,1.278724E-11
8,21,8.7907976,2.1,2.1,1.118678e-11,187721578506,1.118678E-11
9,21,9.8756167,2.4,2.4,1.132597e-11,211902380105,1.132597E-11
10,21,10.9607749,2.7,2.7,1.209721e-11,223191959138,1.209721E-11
11,21,12.0460744,3,3,1.130857e-11,265285531239,1.130857E-11
12,21,13.1310399,3.3,3.3,1.169129e-11,282261409990,1.169129E-11
13,21,14.2157782,3.6,3.6,1.254371e-11,286996430880,1.254371E-11
14,21,15.3007138,3.9,3.9,1.300761e-11,299824487358,1.300761E-11
15,21,16.3858703,4.2,4.2,1.235234e-11,340016547472,1.235234E-11
16,21,17.4708136,4.5,4.5,1.369765e-11,328523505857,1.369765E-11
17,21,18.5557657,4.8,4.8,1.287424e-11,372837542255,1.287424E-11
18,21,19.6405369,5.1,5.1,1.387162e-11,367657130169,1.387162E-11
19,21,20.7257177,5.4,5.4,1.556485e-11,346935563144,1.556485E-11
20,21,21.8107927,5.7,5.7,1.364547e-11,417721045886,1.364547E-11
21,21,22.8960446,6,6,1.472983e-11,407336676662,1.472983E-11
