index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1007939,0,0,7.382814e-12,0,7.382814E-12
2,21,2.1858137,0.3,0.3,1.188263e-11,25246936073.9,1.188263E-11
3,21,3.2711155,0.6,0.6,1.086205e-11,55238191685.7,1.086205E-11
4,21,4.3558894,0.9,0.9,1.208558e-11,74468912538.7,1.208558E-11
5,21,5.4409783,1.2,1.2,1.039235e-11,115469552122,1.039235E-11
6,21,6.5265042,1.5,1.5,1.06011e-11,141494750545,1.060110E-11
7,21,7.6118771,1.8,1.8,1.392956e-11,129221597811,1.392956E-11
8,21,8.6973502,2.1,2.1,1.345406e-11,156086712858,1.345406E-11
9,21,9.7828059,2.4,2.4,1.20566e-11,199061095168,1.205660E-11
10,21,10.8685289,2.7,2.7,1.232333e-11,219096624046,1.232333E-11
11,21,11.9537116,3,3,1.448626e-11,207092789995,1.448626E-11
12,21,13.0387874,3.3,3.3,1.33613e-11,246981955349,1.336130E-11
13,21,14.1238164,3.6,3.6,1.61447e-11,222983393931,1.614470E-11
14,21,15.2087804,3.9,3.9,1.283942e-11,303752038643,1.283942E-11
15,21,16.2936889,4.2,4.2,1.187103e-11,353802492286,1.187103E-11
16,21,17.3787758,4.5,4.5,1.500815e-11,299837088515,1.500815E-11
17,21,18.4640789,4.8,4.8,1.358746e-11,353266909341,1.358746E-11
18,21,19.5489899,5.1,5.1,1.472401e-11,346373032890,1.472401E-11
19,21,20.6341597,5.4,5.4,1.460804e-11,369659447811,1.460804E-11
20,21,21.7195735,5.7,5.7,1.685214e-11,338235974778,1.685214E-11
21,21,22.8049784,6,6,1.432969e-11,418711081677,1.432969E-11
